"","AnimalID","Day1_T1","Day1_T2","Day1_T3","Day1_T4","Day2_T1","Day2_T2","Day2_T3","Day2_T4","Day3_T1","Day3_T2","Day3_T3","Day3_T4","Day4_T1","Day4_T2","Day4_T3","Day4_T4","Day5_T1","Day5_T2","Day5_T3","Day5_T4","Probe_D5_T1","Probe_D8_T1"
"1","210614_10",3.601100384,23.23590059,20.29211173,24.59216016,28.740478,22.95052132,10.58871589,14.09216361,18.31400812,22.45259705,14.37880197,4.539307389,13.5978685,12.379286,13.57315442,4.303937527,1.533126394,4.638352654,3.29814172,7.269353305,20.96454528,19.67498751
"2","210614_11",26.57202934,22.06865726,22.4943741,21.15480374,18.99815642,15.86962011,21.25806294,23.5858642,14.2062327,7.62852691,22.44689267,8.763037835,14.71870728,14.14629218,15.69148442,14.79840459,2.583159449,15.47251061,5.15665101,10.81536016,22.47222753,15.21461052
"3","210614_12",24.91750699,21.20633135,17.33198176,8.202037314,4.284246071,19.58009475,22.91129974,25.81658232,7.025215567,20.13713984,17.80000487,15.80228676,14.87665114,13.26619885,14.90906206,5.402361961,2.952612519,18.17020498,6.756436828,10.41042887,17.72374923,15.49293271
"4","210614_13",14.22474905,17.93038148,20.36366055,16.02655515,14.58760002,3.933568192,18.37808006,23.28263567,17.36048623,17.19548084,10.38852627,16.4115481,12.15526112,1.985581887,15.43247536,16.21326756,3.268009697,12.33708966,13.75684582,16.41640267,15.9188535,12.72666154
"5","210614_14",21.61591369,18.81715157,20.49916736,23.4961048,19.43927352,12.35309838,10.33627467,6.852567154,2.522841372,16.74371252,11.19351688,9.405027961,12.72044974,5.544604221,18.83004971,16.55703646,5.379416772,8.192980023,7.256701218,9.410019419,22.75525157,18.83465554
"6","210614_15",24.44740406,19.12951693,17.7018272,15.28792793,4.687125103,5.825039099,14.97689153,8.769157442,13.54831716,10.94509,12.47040995,14.30354933,4.859543475,13.43330371,3.374096256,3.534640112,17.96701213,3.839968434,2.752089238,15.03195518,15.73356669,15.46425263
"7","210614_16",21.42869851,17.02694606,15.33952184,3.839157789,16.647516,17.94728654,14.81011307,1.83317081,13.93467012,15.25357894,10.12731139,15.20206262,6.399987988,3.988281465,6.560573774,7.09869582,2.958930331,4.702561049,7.747019644,4.336697053,17.30473656,13.72056621
"8","210614_17",21.27396624,25.43961308,11.26388448,20.39674029,21.10851023,21.05514026,20.67055193,17.99184774,7.183400211,9.968972045,19.79735531,8.48427029,8.956996336,5.637453748,14.65729735,6.968131379,6.078593349,11.00964299,5.155564658,9.414643258,20.72081124,14.38965635
"9","210614_18",6.669125466,11.85735622,5.661762721,2.834704444,24.76466825,7.662712021,14.45408613,8.412635245,1.655942587,26.82130583,11.70765416,23.02622164,14.8528412,10.37308804,7.076520626,14.32733893,1.589161876,9.92981204,5.984449594,14.80640982,16.77801327,18.67982533
"10","210614_19",3.477463133,18.98479415,8.562338514,17.32241409,23.5397398,9.338877526,21.42795035,8.437861059,18.64831216,16.32371948,13.9140038,7.279143418,9.808775797,4.91887177,7.419483835,0.198410143,16.30057691,6.006466689,9.068824779,3.627378555,16.78503139,15.18731569
